Ind1	Ind2	Ind3	Ind4	Ind5	Ind6	Ind7	Ind8	Ind9	Ind10	Ind11	Ind12	Ind13	Ind14	Ind15	Ind16	Ind17	Ind18	Ind19	Ind20	Ind21	Ind22	Ind23	Ind24	Ind25	Ind26	Ind27	Ind28	Ind29	Ind30	Ind31	Ind32	Ind33	Ind34	Ind35	Ind36	Ind37	Ind38	Ind39	Ind40	
Geen0001	3140046	5443877	3922606	3238304	6750582	4852719	4023940	3301815	3071442	8579038	4443131	1529829	4512154	3856675	2539340	1925328	4186379	8458572	5257332	2568528	10825687	4903267	4605085	3862775	5035003	5479805	4360526	5107816	3120811	5345779	7789880	15534414	3144411	3565111	13246638	5790820	2382002	8333311	2739298	6565530
Geen0002	760060	232752	561980	338196	752689	971292	242857	907502	979081	515078	340022	444474	49019	978172	551358	658978	1570262	46719	892117	1155048	327541	870414	969783	27217	605285	922661	56761	87355	839878	587060	1026340	728343	749913	889853	888590	1640523	1191757	831193	677161	940006
Geen0003	146055	272349	78114	90177	91057	129755	363226	132745	217339	456095	884523	191414	403258	197080	51594	402110	149561	254239	261450	534983	98630	75628	108184	92911	56344	64971	1661453	1168017	285935	201618	443826	51980	204769	60153	88930	111182	106012	119796	115050	132279
Geen0004	225766	254171	162498	165417	298167	185690	157997	232647	171730	333291	217192	109395	289146	199185	121323	198304	231913	307727	327542	191772	454590	241550	279017	234327	432996	297461	163772	235542	140841	391864	347020	744211	174416	126131	725882	251900	168170	505680	129283	488622
Geen0005	118337	248029	261724	51786	171109	179453	133212	245171	182564	250560	159020	226824	71682	489070	130931	362261	1012429	28813	275597	170713	91253	78168	297184	6232	79432	698229	81140	78551	472877	436755	949157	412343	164717	365598	435862	448553	100860	136745	174704	598511
Geen0006	323564	152553	361919	139456	255884	433996	138982	347670	199174	244588	177640	219240	47710	349014	272631	310770	522482	36406	346586	262175	241636	273255	402443	20730	232606	454966	24885	43216	430639	280658	598600	341072	308756	390499	385347	476999	359943	284891	227303	385152
Geen0007	175682	221294	182965	206815	187408	241122	209190	190890	232799	172924	209592	181321	146097	188213	299586	186083	204964	196678	175582	136565	190713	157686	172099	111471	224806	266105	171277	115369	250770	213404	241711	209419	219362	270822	150676	251751	287445	163103	191872	146387
Geen0008	160742	220993	174381	156111	208793	177724	139235	138081	101286	270480	128145	96686	266688	82288	170238	76362	85158	347101	167588	90367	490033	134424	144425	206985	176764	156575	155791	218449	130415	117960	210304	521363	116001	101444	328216	156643	80164	422101	109423	212796
Geen0009	130736	214696	183208	116264	237860	192912	143045	133970	107531	274618	136934	54726	182375	133018	103074	55792	166473	338934	189214	104049	338178	186153	203174	163704	69104	204624	133639	185447	156717	70961	255020	619864	121657	157301	513641	241729	92518	394690	103027	294803
Geen0010	320151	87770	309998	169276	381765	223191	105778	301846	196360	156146	110461	144058	40360	266603	237662	238987	323405	43680	244581	249364	165273	261717	282609	36505	216249	260353	19974	35943	296589	260258	310553	347617	275026	280288	350104	429093	280663	394448	199139	278042
Geen0011	179365	70007	227906	107367	183027	239951	56645	257906	187465	98159	115332	99590	14718	187430	168672	144823	291792	11978	206079	153232	165896	201256	209361	8363	227477	376596	3420	15218	196924	196674	274724	222506	247145	214175	263635	303753	220360	255567	182075	190344
Geen0012	113153	101092	89566	153175	94336	193368	91766	126508	132395	131615	175029	106013	68075	148066	140350	98861	115356	63085	98210	81308	162320	92726	143677	38971	99829	127340	34383	40205	87276	113429	128045	90668	117564	90201	113306	63486	145182	84249	194049	117734
Geen0013	38299	89982	41295	58465	51497	34874	74743	38500	71409	114738	99035	67010	111166	46973	62362	60515	44524	126024	49625	79547	36501	60824	30894	93702	40426	21437	155824	165879	56996	49261	79197	30301	53795	68519	28649	51214	30440	38039	85282	36925
Geen0014	125187	36210	127162	90462	92647	114880	93094	99632	80840	76425	76674	60315	39065	143440	107834	58246	105093	42689	71644	58829	111222	135432	91952	26830	62328	95643	19853	28893	62433	64468	95587	111747	74026	77437	112258	104944	108739	96783	115363	111387
Geen0015	128334	44617	144659	111601	133599	89750	75817	93767	82941	53030	65923	75537	45117	85676	94508	77032	79640	82088	98229	113394	108157	133717	96964	64450	88331	78441	53989	52748	68316	82553	75740	112054	106601	78471	101223	124368	132882	120644	90861	85993
Geen0016	65385	19441	154733	72147	173205	157121	77330	161614	55796	39979	71659	47178	17728	169456	78597	34309	85092	16407	64717	57821	92501	138629	97587	14617	75808	74319	19154	19967	30671	38406	89141	66611	86397	83996	96850	134818	113780	95681	79801	84132
Geen0017	97391	75417	83345	79633	88013	77322	69512	57277	62625	88469	85051	73702	61160	63914	57584	79660	81497	83663	52029	88710	35370	59255	66149	59185	60579	39912	71695	72154	114168	85692	99216	76175	49978	92484	72656	81996	87263	85702	57463	69590
Geen0018	25377	21225	35590	44817	35510	19461	60515	21690	27160	44612	12225	22861	42577	20957	36871	38745	8336	84585	12456	26160	19267	43175	17122	66168	30625	9509	14955	41076	9593	17889	19837	35579	19563	31506	17169	12749	23597	73578	29829	35991
Geen0019	112799	34098	90093	58738	96700	78969	37780	74475	72398	57299	57592	50810	20440	98514	44728	52782	132660	28901	77659	91185	54192	85764	77658	21327	58036	70672	21246	23738	100690	75439	111545	64639	73659	81595	86001	124683	104816	98207	53136	64109
Geen0020	86526	31767	79469	50369	76655	77980	24693	65086	63870	33991	67771	49516	7351	80090	64748	55963	109695	9732	85475	66949	64894	82019	85808	4129	90623	101860	16455	13262	122152	110984	121705	87074	68465	79032	91320	114813	105734	81919	63790	72888
Geen0021	54417	10360	54478	32217	40724	89486	26517	50570	58637	36686	35004	38904	5818	76852	63135	19448	38336	5729	70103	22698	92514	56754	62893	4405	92241	123290	2808	3539	37703	95192	76618	66327	51310	82452	68990	62410	111924	45223	41850	38151
Geen0022	58722	39790	67228	59423	84164	82738	46009	90613	64815	56176	53549	45092	25611	81965	55253	74556	78367	29648	61866	69208	49996	62434	72305	26687	61243	66055	31899	27198	73350	71961	88542	60849	53276	97323	88793	103390	69939	74003	63308	68074
Geen0023	48521	28456	45328	37213	74954	73545	25073	58234	55647	40920	29809	34591	14118	67684	51307	41205	102873	7044	53500	55605	69905	49837	57534	6126	47071	85762	1447	6035	51491	51593	126748	90204	64278	65983	81086	68124	56413	84551	60471	85889
Geen0024	15923	9067	12952	11606	11878	18842	14273	18457	13013	19233	16794	13919	5502	21830	18536	6301	15790	1286	19109	4290	37348	15612	14708	1699	23513	32142	496	1331	6211	20784	17103	25549	20702	9877	25164	10589	15031	10495	26469	25865
Geen0025	52944	37734	56158	44949	47128	37670	33742	42497	34236	34446	38342	41624	26318	41269	51343	48559	70567	36074	60913	51311	48744	47313	41468	32633	53163	59309	30296	32329	72962	82517	53964	60930	55211	49820	50584	52927	62384	41036	49828	45870
Geen0026	51349	26907	53048	48073	72452	63373	39020	53185	66612	52908	50300	40396	31966	78272	57666	45057	69439	16937	39004	44489	46636	76392	59495	26157	39499	43071	21992	28124	46681	44020	83622	51261	42969	50138	58647	63840	59743	58590	53926	50310
Geen0027	49963	32342	56697	37617	57810	49407	46612	65918	44339	80761	51469	39350	53415	82913	50331	41827	73051	25156	33674	34561	28054	54968	52378	26265	35489	40018	21182	24508	49699	44196	73387	38376	38042	78098	57010	70185	47705	67002	55916	57244
Geen0028	58155	17815	38957	70733	60723	134564	44040	111697	74640	100655	56858	30126	4827	62606	78333	47839	38060	8314	71465	26336	92269	76327	52370	2391	86378	48508	1422	8293	18808	56642	45087	56604	55970	43385	76608	40012	54026	61539	69648	56591
