baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
Geen0001	5149993.60420987	-8.66281857021733e-05	3.69304590474413e-05	-2.34571104547847	0.0189908238171677	0.0464323320713148	0.875102426575994	0.665413264083791	0.406112543602234	0.804280016890333	0.59864314197212	0.508323075101621	0.99737819287104	0.039829753677115	0.728788737580284	0.989160509234338	0.343058124872096	0.929769949064777	0.0282678992824176	0.106476903638357	0.64536786268523	0.535328150267145	0.502801327691465	0.664087762167725	0.499157694378949	0.0542763564742154	0.886642882638205	0.579453611864674	0.299720850452146	0.337555848790409	0.151272459224173	0.053570175062449	0.747721795063513	0.942343033611381	0.829449553343058	0.749353002864275	0.940815591763734	0.0305374140444639	0.424690047305996	0.268666214887388	0.256605073753804	0.626492957615275	0.610674894767805	0.378343352062177	0.10904537255758	0.169085364815687	0.674691818605887	0.13360342913255	0.12617781214661	0.696995300169035	0.990910007888552	0.877838353355149	0.380766914750466	0.771957754619252	0.962785261045371	0.0464323320713148
Geen0002	642750.05005065	0.00017380726765373	4.83837077308385e-05	3.5922684681511	0.000327811871490907	0.00356237558846686	0.808123866835249	0.528834722858162	1.04322141678465e-09	0.226021337565571	2.10901578495967e-11	0.72724500919333	0.99737819287104	5.66002050628057e-20	0.000133549583246298	0.00855527228967657	1.27840106512051e-08	0.0364581637844578	0.0363294965410807	5.0475316296441e-05	0.0495833158472467	0.634351880397516	0.86666919099161	0.000678411058831062	0.384527130658623	0.00663109380962433	0.0190641115664218	0.612356432980041	0.154131649063662	0.000594118350250578	0.207991414916411	7.57791096707028e-06	0.209259839983977	0.730043086423635	0.665977350173209	0.4244821633764	0.606523380422619	0.000584609615698242	2.12522278867615e-09	4.91872737262626e-06	5.57808733290313e-06	0.139772950670898	0.643024438111759	0.00699661273328856	0.000224656967005529	4.27242063681089e-10	0.459866000101762	8.68694590044854e-05	0.000282497443682432	0.00103966913404289	0.00406103295563606	0.908610952510065	1.34660886957019e-05	0.642544243513942	0.962785261045371	0.00356237558846686
Geen0003	296877.993960888	2.25790861429568e-05	6.50905777079467e-05	0.34688716766759	0.728676087495393	0.79463041166346	0.851402259164362	0.740304910752065	0.00290391183872866	0.660300384498035	4.9054910466583e-05	0.328759564762777	0.860484335783326	0.0412696026837374	0.00773269918979438	0.0168386710120873	0.00866557071283664	0.0152864408826619	0.585103116987179	0.00032048191647235	0.034288340701562	0.634351880397516	0.750252161597441	0.0866946833822943	0.197981750554677	0.724091673088127	0.00558139456510778	0.852527944807859	0.785902049258181	0.0332453799830821	0.955012192911539	0.00129890850076496	0.226842044216626	0.540663189385797	0.483655466601151	0.36468280768498	0.266072194225072	0.0821467252273684	0.0292661132855189	0.00235622360460789	0.0156479891607981	0.988778437841651	0.645451281038033	0.00347585701039332	0.667114399311244	0.00115534361649254	0.774565358488055	0.167207202462091	0.0294772314334677	0.0926656976861552	0.000131431814722194	0.5273566014941	0.000230501887135013	0.527891149206062	0.991231172519515	0.79463041166346
Geen0004	268987.541727557	-7.58590992836365e-05	3.3469714983185e-05	-2.26649970941634	0.0234208049272044	0.0543406146802887	0.899670991558781	0.735419025184196	0.352943737761907	0.585838939045659	0.787047372190888	0.970397615818067	0.99737819287104	0.190321888261257	0.520625548699886	0.952369552985411	0.596306003902799	0.933837749347374	0.12492948810225	0.181165816033988	0.216565731907243	0.535328150267145	0.502801327691465	0.824637923108881	0.48502506646731	0.0858163066786417	0.983739346966408	0.579453611864674	0.154770639655047	0.852298315837103	0.0911789451806049	0.0771729389082016	0.716145739000043	0.874846549219836	0.983714809155169	0.682280034648503	0.738905534833529	0.257154142958332	0.989320988302529	0.792695183510105	0.212612064877764	0.50748218587172	0.56939120539394	0.378343352062177	0.123177099315604	0.341782717638351	0.663500450792721	0.230844478794577	0.238653362488045	0.869386623381962	0.771324484995451	0.734186492639168	0.698296833217494	0.861122496573146	0.987387167602639	0.0543406146802887
Geen0005	252239.343032823	0.000122080312373976	5.07118581087071e-05	2.40733266196404	0.0160695246929172	0.042288222876098	0.595625441870622	0.504880348915134	4.77332207583874e-05	0.357298787766098	4.00565715126494e-07	0.571252296946201	0.99737819287104	1.13895233024031e-07	0.00396194763506003	0.00601574762394341	0.00286551854667607	0.0211112659233775	0.0286645778932927	2.81317117966415e-06	0.0910136192763836	0.535328150267145	0.944152767973737	0.00061729093913775	0.384527130658623	0.122144300868114	0.00336026746526019	0.579453611864674	0.669580933258997	3.16553377318466e-05	0.255104087696412	7.68379194260726e-06	0.0976307734507057	0.983599045434068	0.803091494408926	0.290621579817508	0.604530971493112	0.0241799361494412	0.000462924516912512	0.00151081640158513	0.000917038426468741	0.261074793068184	0.617964327613479	0.00165431798909629	0.00105960941323788	3.16174335183272e-08	0.445578981555428	0.000994663938998115	3.19765402628809e-05	0.00105374734127765	0.0341096095913455	0.536442618972511	0.000789985527207655	0.406503102788771	0.986763797156304	0.042288222876098
Geen0006	263178.572106731	0.000115584129393184	4.20806871244693e-05	2.74672628446633	0.00601933465129366	0.0222115669789434	0.851402259164362	0.627213392950429	1.73500192537348e-09	0.242704052259181	1.71958323376393e-10	0.475570449730849	0.99737819287104	1.47859169233808e-14	0.000639443318691951	0.0125647657309094	5.16924161961966e-07	0.0582051816068823	0.0250619265840414	3.74541830365107e-05	0.0518504735048778	0.651481471006995	0.73300912603993	0.00133276912231367	0.317545594592541	0.0394966077039425	0.00727456022823856	0.64215610630438	0.273340907085698	7.97873566009844e-07	0.270684966799609	1.46558895525971e-06	0.203923321827693	0.661264523785809	0.567969351477166	0.321608643865534	0.604530971493112	0.000783199815114946	8.39491363219156e-08	4.78060877273473e-08	2.35846378589375e-05	0.301946476558387	0.56939120539394	0.000451250767498929	0.001141273285433	3.3764229324084e-09	0.517470215407789	1.98779296892345e-05	2.29084261129859e-07	0.000104080020522124	0.00721170462520687	0.520783599104488	8.83680697916422e-06	0.672747056407318	0.986763797156304	0.0222115669789434
Geen0007	196498.077484849	-2.50094767166262e-05	1.66121191227533e-05	-1.5054958691195	0.132196638095831	0.209297194620345	0.995389496514363	0.754418762714818	0.347822546908942	0.157182989425255	0.0951329494302297	0.71570090545041	0.99737819287104	0.0385934605627183	0.0115130428895233	0.161417045527113	0.119324664324106	0.115120775361328	0.244866061377382	0.304618456733508	0.021972112834195	0.930387173766122	0.935096422836258	0.269444709098556	0.659371078647012	0.988387544405199	0.18080694332208	0.910686066922703	0.631212598520172	0.181826431057261	0.407986476611633	0.428977377938169	0.140801221757168	0.830337143543982	0.567969351477166	0.854544509278879	0.913142320681342	0.394330292986809	0.0401936892748619	0.376150255809592	0.586536908156009	0.199169007469744	0.61379614299373	0.954299178868834	0.626488558745342	0.113041616620219	0.66437269611542	0.897969272536676	0.802398340492159	0.0525725145836336	0.0295646022275386	0.894088745988193	0.0792977330349105	0.610807450116018	0.9579256396217	0.209297194620345
Geen0008	189455.79247489	-0.000120215817112774	3.85248116134858e-05	-3.12047774091365	0.00180557943385438	0.0103768932980137	0.875102426575994	0.490681167250529	0.00909518302087147	0.927312379548192	0.0763164759661281	0.62379957185225	0.99737819287104	8.20364110252397e-05	0.483119663483373	0.201631932349504	0.0785453222987352	0.298451188034818	0.00360670143705333	0.000469353865305497	0.85912039645999	0.535328150267145	0.502801327691465	0.223763548131762	0.58160657670959	0.0207826900766343	0.2292966513914	0.579453611864674	0.23901893608378	0.123324632131449	0.0988726285027644	0.00775947858562347	0.693437045818388	0.828515848596184	0.774067398499429	0.491557320948804	0.960187457301659	0.00487721359202403	0.0738006667299072	0.0719440777362251	0.0764065845239403	0.594321715241919	0.71694042859309	0.0708564522213788	0.00850319042082897	0.000259349834193131	0.445578981555428	0.0469591843346984	0.016436456773944	0.255142946556805	0.411904042830648	0.774045349751813	0.0542156748699522	0.502911788036303	0.986763797156304	0.0103768932980137
Geen0009	191137.45327037	-7.61385379237714e-05	4.12085364002858e-05	-1.84763994489363	0.0646544470795022	0.123009210453091	0.887680137139768	0.699354962061959	0.488659067130354	0.78239428611098	0.664513544727083	0.508323075101621	0.99737819287104	0.0691186720880515	0.700112414744119	0.95235589613806	0.366159421611021	0.883334270275467	0.0349443468162189	0.147190245237484	0.447309669331869	0.651481471006995	0.502801327691465	0.894187809416217	0.692315066010344	0.0970524962261838	0.889269823275399	0.593618661486421	0.440945022495203	0.325932657268762	0.275152547021535	0.146271639840163	0.645586208773769	0.985173350773366	0.727104553862567	0.855853612498868	0.84798338637742	0.0356332919246556	0.333327597981333	0.264354704017233	0.274884422184235	0.731899727994046	0.756044527428052	0.493676353935626	0.253011055063103	0.198397176961525	0.638166454059497	0.204536906884045	0.122594416677575	0.93118400428804	0.924448295276288	0.646718801953031	0.291841766427153	0.638542623421513	0.962785261045371	0.123009210453091
Geen0010	212779.694296831	0.000104160219160486	3.69704545216781e-05	2.81739081945584	0.00484155724427515	0.0187657257530045	0.952764546514114	0.504880348915134	5.9800242603915e-08	0.0815773296221911	9.15666656806691e-14	0.333654344200769	0.99737819287104	5.76064069003211e-17	1.55554985194697e-05	0.00398282218204225	1.78140411046639e-08	0.0360536838371651	0.0552571940813485	0.00141636999153006	0.00874521262226195	0.778517047627622	0.63762168304143	0.0131304865517513	0.414871530767337	0.081883958884658	0.00698000129908602	0.749020254804137	0.338311743516812	7.22393564160091e-05	0.824673482124691	5.92251405270151e-07	0.194929320306042	0.598222511449085	0.472106254165789	0.619342719233169	0.669628722812575	1.08616136748583e-05	2.13444894188205e-11	8.11845848011051e-11	0.000212636308597259	0.095550126570879	0.731038939145512	0.00442674803234999	0.02275783943176	6.05312922430013e-07	0.734769465611009	0.000297647055679244	0.000220506442687338	0.000139837825412739	3.66525844391238e-05	0.728200422041682	5.05647160014816e-07	0.773987283621033	0.962785261045371	0.0187657257530045
