X.1.	miR.001	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
1	[1]	-0.2245397	-0.2245397	-0.08630318	0.1147369	-0.2280769	0.1462426	-0.05490053	-0.1572293	-0.07848069	0.2200458	0.2227413	-0.08018339	0.167055	-0.07930351	0.07308359	-0.2840961	-0.2175789	0.2142671	0.1875531	-0.08765343	0.1267478	0.2206978	0.06249101	-0.02480658	-0.002289917	-0.2957889	-0.005086856	0.2203152	-0.1520699	-0.1222182	0.004784457	-0.08755547	0.1209501	-0.0985235	-0.001745523	-0.05055812	-0.1275624	-0.1545037	0.04247486	-0.119648	0.06369309	-0.04530061	-0.06777992	-0.067486	0.1219382	0.2639235	-0.01422553	-0.177363	-0.06145311	-0.2452052	-0.1414579
2	[1]	-0.2015254	-0.2015254	0.25143	0.7156378	-0.4158116	0.7460596	0.09052518	0.04041212	0.8104442	0.6311441	0.5453553	-0.646869	0.3472571	0.3411722	0.5048388	-0.4685656	0.2988533	-0.101621	0.5025887	0.264415	-0.3875276	0.4328462	-0.08967831	0.3674197	0.4770086	0.2302234	0.5459324	0.3898538	-0.1627759	-0.2241751	0.257647	-0.2651481	-0.4851783	-0.6741029	-0.5498531	0.4229184	-0.3805928	0.2248507	0.417101	0.4676124	0.720766	0.2891762	0.5906938	0.5308594	0.5315085	0.6258756	0.003727672	-0.5250158	-0.1067794	0.1706335	0.4139615
3	[1]	-0.3179184	-0.3179184	0.1154281	-0.3243152	0.08526987	-0.47445	-0.06009073	-0.4741001	-0.3619728	-0.247721	-0.1882592	0.4988109	0.001041901	-0.1717759	-0.2418202	0.280787	0.01056146	0.2344276	-0.3469362	-0.3469966	-0.05387951	-0.1996732	-0.1929844	0.1580143	-0.4287256	0.1852252	-0.348206	-0.01104823	-0.02533758	0.05373017	-0.06748375	0.5125458	0.5285806	0.3204454	0.6667137	-0.09089847	0.2089564	-0.2186668	-0.5131415	-0.1573797	-0.2895929	0.02546573	-0.2042027	-0.4072901	-0.2364321	-0.4195836	-0.3445675	0.5216	-0.1412852	-0.254427	0.2451775
4	[1]	-0.1057517	-0.1057517	-0.1163808	0.102185	-0.2849847	0.177709	0.05418401	-0.1448099	0.01346887	0.2335138	0.2034987	-0.1682215	0.115811	-0.01087689	0.08872442	-0.3968348	-0.203325	0.1287233	0.1480146	-0.101263	0.06654751	0.2214065	0.1325828	-0.08600293	0.1429055	-0.3577972	0.006228067	0.2008885	-0.1749782	-0.1915846	-0.008705398	-0.1798597	-0.0292382	-0.2349582	-0.1241343	-0.08856256	-0.1751833	-0.1819806	0.03089058	-0.1138589	0.1152943	-0.04907236	-0.007934207	0.01503609	0.1461783	0.2952124	0.1243714	-0.2933466	-0.05591449	-0.1286305	-0.1418596
5	[1]	-0.3630999	-0.3630999	0.3933494	0.7032048	-0.1940834	0.4705666	0.2893276	-0.1744587	0.5264483	0.5654886	0.7291056	-0.3184066	0.6857342	0.2525729	0.6155696	-0.4041646	0.5720372	0.08437592	0.2550169	0.1555172	-0.3847706	0.744831	-0.3061655	0.3543979	0.3925273	0.3462936	0.533974	0.6622315	-0.2373324	-0.2189825	0.6050432	-0.2621414	-0.1271537	-0.3700809	-0.2670912	0.4994152	-0.03491095	-0.003348461	0.2401101	0.2856851	0.713792	0.2526016	0.4025459	0.4787902	0.5318284	0.5249292	-0.1285012	-0.3538193	-0.5285867	-0.1535379	0.4417293
6	[1]	-0.2210653	-0.2210653	0.2762281	0.7750714	-0.4043689	0.7416621	0.2945683	0.04239911	0.7800497	0.6658411	0.6364719	-0.6388491	0.4354898	0.3913963	0.6049688	-0.5291023	0.3328321	-0.09065434	0.4872095	0.2947569	-0.3961688	0.5736715	-0.140272	0.3636587	0.6402289	0.2833647	0.6527293	0.4747982	-0.2688443	-0.3032199	0.3891221	-0.2876638	-0.4477031	-0.6985909	-0.5708363	0.5085026	-0.2659356	0.275564	0.5259513	0.4556028	0.7595911	0.2656001	0.6903745	0.6679009	0.6712149	0.629126	0.07706718	-0.575341	-0.2297093	0.03160166	0.4326465
7	[1]	-0.1229369	-0.1229369	0.1696019	0.4164017	-0.01180703	0.3308526	0.1273012	0.0510144	0.3004123	0.1783279	0.2571649	-0.2425899	0.1361098	0.101424	0.3312454	0.08397587	0.2412903	-0.0744404	0.2021121	0.3446005	-0.2844431	0.2066631	-0.0878637	0.4057561	0.2231334	0.3658158	0.3646126	0.0361008	-0.2199607	-0.1535421	0.152049	-0.1290012	-0.2034871	-0.2485531	-0.28299	0.3603964	0.01720608	0.2567185	0.2849797	0.1704234	0.3451062	0.0998448	0.4538489	0.3770917	0.1741066	0.1491454	-0.03647436	-0.1426744	-0.1410513	-0.2453411	0.1550665
8	[1]	-0.06749312	-0.06749312	-0.2356292	-0.1107861	-0.1439552	-0.04310507	-0.0712647	-0.02025509	-0.2846054	0.02077255	0.001359005	0.06942045	0.009111286	-0.2247233	-0.1650311	-0.1964665	-0.2843275	0.1843233	-0.0462482	-0.04573926	0.2325048	0.04489018	0.05507338	-0.1184533	-0.088018	-0.362772	-0.1354865	0.0723088	-0.1544999	-0.06665452	-0.07652636	-0.05362392	0.1928932	0.07387203	0.08292305	-0.1253862	0.04106077	-0.06607544	-0.0619319	-0.2368848	-0.2040825	-0.1688387	-0.1622235	-0.1820442	0.01148557	0.09606848	-0.02587303	-0.001545499	0.07293959	-0.1934343	-0.2824437
9	[1]	-0.2147926	-0.2147926	-0.101919	0.1146955	-0.2580716	0.1810796	-0.08386461	-0.1293463	-0.03764284	0.2349523	0.2090779	-0.1280074	0.1523221	-0.0780066	0.05687486	-0.3375297	-0.1725186	0.2152695	0.1566665	-0.02542986	0.11983	0.1636177	0.06092533	0.03359926	0.01120451	-0.2441876	0.05016232	0.2260761	-0.1139437	-0.106263	0.01499403	-0.133866	0.09532748	-0.0973273	-0.02324898	-0.09880901	-0.1370885	-0.0326297	0.05496956	-0.08078219	0.05012184	-0.073633	-0.01440082	-0.07225587	0.1708162	0.2754711	-0.06899236	-0.1645866	0.02745483	-0.2143266	-0.1137846
10	[1]	-0.02495445	-0.02495445	0.2465372	0.6093079	-0.5554056	0.8174184	0.2849814	0.2201558	0.7820321	0.7031531	0.5412184	-0.6928905	0.2735503	0.3136323	0.4133489	-0.5948685	0.12975	-0.1659202	0.4476137	0.2657221	-0.1971614	0.4030168	0.01322311	0.2870955	0.5579385	-0.01490248	0.6180613	0.3403232	-0.2250172	-0.3193789	0.1023197	-0.1669948	-0.5598585	-0.7804644	-0.6458109	0.3483075	-0.4534408	0.2106311	0.4362126	0.2601585	0.5950496	0.1466625	0.6007882	0.5057903	0.6003232	0.7345913	0.0737882	-0.6170539	-0.06109417	0.1848719	0.3513635
11	[1]	-0.1283727	-0.1283727	0.2039419	0.6883547	-0.4189904	0.7908223	0.2519004	0.06375102	0.7601325	0.6301368	0.5518774	-0.708598	0.2911622	0.4422411	0.583472	-0.5577862	0.2076653	-0.1900656	0.5429898	0.360768	-0.323077	0.4324801	-0.08640293	0.3237841	0.6487676	0.1307276	0.5891004	0.3187637	-0.302171	-0.3935503	0.2201596	-0.285092	-0.5475753	-0.7634785	-0.637589	0.397197	-0.3658625	0.3024248	0.5682318	0.4400346	0.7064766	0.2131445	0.6682714	0.6554083	0.5539311	0.6076057	0.1995297	-0.6516164	-0.2296694	0.04805625	0.3575596
12	[1]	0.02165413	0.02165413	-0.07173333	0.3681253	0.07154456	0.3667254	-0.1624119	0.04475742	0.4179118	0.2088892	0.09866184	-0.3794939	-0.006541755	0.2265361	0.32543	0.1231532	0.03198122	-0.17318	0.3904008	0.4470763	-0.2373398	0.161214	-0.00190188	0.1538553	0.5221011	0.2455744	0.2971629	0.0587535	-0.1137681	-0.1581728	0.2382454	-0.2400686	-0.3804605	-0.4145668	-0.4422934	0.3393068	-0.139135	0.3839055	0.3938995	0.3351574	0.3928436	0.1666924	0.4975328	0.4935385	0.2865617	0.03697223	0.3323637	-0.3056756	0.03247138	0.1024898	-0.01171691
13	[1]	-0.05927987	-0.05927987	0.01902643	-0.4708073	0.4064192	-0.7478587	-0.2021031	-0.2573483	-0.6508368	-0.4776578	-0.3479221	0.6095107	-0.1466038	-0.3833572	-0.4878302	0.45252	0.010332	0.3130809	-0.5357298	-0.3350167	0.1363421	-0.344509	-0.04331424	-0.009072353	-0.7187765	0.02818314	-0.5436334	-0.1608495	0.123989	0.3085885	-0.126658	0.3619955	0.6646471	0.7164354	0.7150197	-0.3214473	0.3610961	-0.2965581	-0.5245022	-0.3429891	-0.5829635	-0.1100316	-0.5676816	-0.6391711	-0.4731879	-0.5726096	-0.3620316	0.6580237	0.02703817	-0.1650965	-0.05270552
