baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
miR.001	1147960.17968485	1.43948235441178e-06	9.40436407579943e-08	15.3065358041172	6.91502029582409e-53	3.45751014791204e-51	3.45751014791204e-51	0.99582919615838	0.000293837401574635	0.2383469699984	0.00345785379956785	0.569317761374138	0.0499719507787336	0.0118081561419611	0.0324182106682302	0.00554315029258417	0.456965493792638	0.000363257912197431	0.706308852687513	0.00387929833882821	0.676225475627744	0.0500309161715887	0.851772597304489	0.020103417450789	0.508416153999387	0.00383079443559372	0.00303032813846654	0.0114924129610252	0.00113702879964027	0.0433141652360361	0.00628454839572563	0.00772521601292427	0.00110573804259691	0.983632767042577	0.645828436771906	1.86127417288626e-06	0.849540009214403	0.650185729754931	0.116415357931032	0.410576984138334	1.26698637801e-05	0.960514779470609	0.170991836636634	0.398379966882005	0.0152832247878883	1.9487552569341e-05	0.314042771094021	0.00163888658396539	0.00115943726708862	0.000985799314373819	0.0956831948477093	0.344782292894274	0.440139724011712	0.569411521385595	0.238033809405547	0.00149991055029863
miR.002	605258.232904223	2.84682591219454e-07	1.62965340441154e-07	1.74689041515703	0.0806563487521865	0.192038925600444	0.192038925600444	9.22772139254818e-17	0.618012454795483	0.569447918401418	0.67628973100773	0.455319500494877	0.776077243339946	0.86517514223936	0.258089390637655	0.287078643898087	0.537623634530939	0.524742519684493	0.245246742660959	0.056445096885435	0.809078928526503	0.946851647944205	0.724442853701106	0.473763860830627	0.0200921895897727	0.00435316831965906	0.76437103256753	0.164648735256374	0.926664784726325	0.00119678622956455	0.0627881350620299	0.2416304524634	0.323799606932668	0.452206784827451	0.605145331283211	0.149777430170605	0.849540009214403	0.650185729754931	0.545671560559839	0.55523119852826	0.0287348867100812	0.183612392639089	0.0980465800382756	0.213398142841533	0.0625413650795479	0.395885753704796	0.486883191899119	0.288320348667505	0.000740769934220093	0.314631542800226	0.339582606725579	0.775982570219695	0.208422028266905	0.940224311354646	0.304614354769094	0.975673829933973
miR.003	476159.847693745	-3.02527507736592e-07	1.61670403187686e-07	-1.87126092204634	0.0613089241927902	0.157471656674962	0.157471656674962	0.534077140362674	1.18293811218077e-38	0.14411172116253	8.14237708482362e-05	0.818965703910197	0.776077243339946	3.31935660550257e-06	0.00059678216852498	1.62749084257413e-05	0.00862335505448216	9.34782557243292e-05	0.568329931422278	0.00865640256672391	0.0966485915951862	0.0658162518978153	0.724442853701106	0.00038241130192046	0.917338636078111	0.14452993228056	0.000415964027169797	0.706968936113682	0.189441563787127	0.0536082616305933	0.407730263822969	0.0316046745727744	0.00209678814417978	0.804933997701455	0.398237353609329	0.0976077698188306	0.494295190416716	0.00431068507907128	0.00148754184048677	3.93104992057223e-08	0.00209035177489687	0.149252788465939	0.876595196681407	0.0994879931787338	0.00868276740486958	1.40977605339869e-05	0.659145068390178	0.0710344291812149	0.00560398436262166	0.000177042314559491	0.000228500426374957	0.918354386914237	0.0339777270872006	0.569411521385595	0.310940657702117	0.0199168010213875
miR.004	502600.507307649	4.75773468510042e-07	3.13898652520519e-07	1.51569133760121	0.129597419038882	0.269994622997672	0.269994622997672	0.098552184254917	3.42329300625696e-05	4.2490300153665e-68	7.59800651309836e-10	0.426133775879409	0.993305378957427	8.84757186024048e-07	2.70902771672233e-13	5.61138385347306e-06	0.0124996910303914	0.000106627095554678	0.710540286404305	0.0398029981313456	4.62263617609601e-11	0.89729886560045	0.770056566737563	0.0265902900310137	0.854785958226194	0.258277925716548	3.16286752548899e-05	0.706968936113682	0.358539665343518	0.00126047061154984	0.553775605429427	0.0135849844604139	0.000104557126770389	0.054969033648118	0.000863161126377079	0.940632766444675	0.849540009214403	0.0076252652674157	1.4886066558286e-12	0.00371477372149966	0.00625596157152976	1.4922674540697e-05	0.977483683861398	0.392675378427555	0.236318448342261	9.87186180956179e-06	0.731881488264181	1.30347566733533e-05	0.0400228436007715	1.12559244733778e-07	2.03964400177257e-14	0.764293221927995	0.017649034275498	0.598047270453555	0.499505364725141	0.00149991055029863
miR.005	252338.609993575	-3.32062613428702e-07	2.46310412720892e-07	-1.34814687597061	0.177611147085936	0.355222294171872	0.355222294171872	0.278277465265804	1.02692505006603e-07	0.000457906808326591	2.26379841721817e-100	0.662412305600858	0.993305378957427	3.5939820054202e-16	5.50040991345965e-09	2.58230905825362e-05	8.08005641858966e-07	0.000737293976328762	0.0217188225067823	6.3486445972524e-06	0.00145906759315771	0.83288411049496	0.302872292465992	3.82115044043826e-05	0.121742600419347	0.0614485508720631	0.00175820462460073	0.25215343243735	0.294219837402423	0.000214018130949381	0.678589857375667	2.21500103347748e-08	0.00690701521650628	0.337751184021235	0.0478552228529472	0.423870377040475	0.849540009214403	9.52885294423747e-08	5.93503381524203e-16	2.3125969045133e-07	3.00847924112836e-05	0.00348812342907081	0.570854421267571	0.0030239478641381	0.00553929471866793	3.63078814544361e-10	0.314042771094021	1.88618454354713e-05	0.00154760860997494	4.92551058549341e-05	4.09335225993569e-08	0.775982570219695	2.77466764155632e-05	0.598047270453555	0.787524252180035	0.00536509052050232
miR.006	244841.463746462	3.32941961522041e-07	1.1865420803176e-07	2.80598528315931	0.00501629833284795	0.0418024861070663	0.0418024861070663	0.959671031676133	0.00121701401182133	0.913110049932352	0.0137638329589675	1.93646732060717e-05	0.993305378957427	0.0118081561419611	0.173867321597379	0.170095588979541	0.0992737075447883	0.0893578256743862	0.37124178100967	0.000473815490746293	0.958195788831042	0.0713214865698817	0.95819895662573	0.0155036118660074	0.0569239453834323	0.0161270233840985	0.108898080635444	0.18177516104445	0.102948339222176	0.128035954069131	0.00308932737555764	0.0144943517667798	0.131445158432752	0.983632767042577	0.974197536908043	0.0191935280131863	0.849540009214403	0.391779588618683	0.26113840768345	0.254387993942249	0.000316138394723403	0.793616440170782	0.210513483099057	0.0994879931787338	0.0079904103871179	0.000436819190773156	0.1130642464282	0.0898384377992965	0.0504083444935065	0.0260115099161208	0.373851024519773	0.497672435770966	0.274848018279088	0.60395397542169	0.850328089963422	0.171863522580491
miR.007	203404.662083619	6.30277798422429e-07	1.24664894201497e-07	5.0557761466007	4.28643888105661e-07	1.07160972026415e-05	1.07160972026415e-05	0.99582919615838	0.00227396850703279	0.541203887557834	0.0573319027889965	0.885174886446003	7.14274131339249e-13	0.0178807807465929	0.117366520745459	0.0850665550762841	0.934369477467965	0.0513274282002878	0.437443824112774	0.029252459481014	0.617750446201109	0.100360766002936	0.851772597304489	0.0120373627189046	0.98123094621458	0.0957618569768721	0.126171101549682	0.0699419250403476	0.044908447220941	0.0204902404771437	0.0417613621954874	0.0694674258526913	0.14635554159924	0.983632767042577	0.865457062482428	0.0685477518673987	0.849540009214403	0.79022243917714	0.102079466060363	0.285923801385488	0.00980537804336813	0.482888634063546	0.470600914268735	0.57112030897028	5.74305512632266e-05	0.00528420772422133	0.588384387517665	0.0227396720936203	0.00257796081952954	0.0304116214020106	0.684531564426552	0.750539660500167	0.845122912801836	0.221664470611775	0.825830034257846	0.00102949422380654
miR.008	163232.038466428	-2.47205182953403e-07	3.28454729834472e-07	-0.752630912266005	0.451671736510322	0.648284152551081	0.648284152551081	0.164512714703548	5.52688120749294e-12	0.0402717274837622	6.19153812481587e-16	0.580458026606974	0.993305378957427	3.66409147060751e-82	3.04853253781071e-06	0.000247468803469853	1.19398500306395e-09	0.00390911551585927	0.0017028481594742	6.73784856363666e-06	0.0317190555271874	0.301687919499344	0.344854627068232	0.000667036776305543	0.563188840535123	0.0161270233840985	0.0036090078431389	0.320187079204444	0.0846887191424644	0.000547192928007958	0.228048374358196	8.28057513361194e-08	0.0194667766537719	0.715798043836508	0.213604946360576	0.341707855597985	0.849540009214403	3.73690942001946e-11	1.20496116059409e-16	6.09529674389304e-15	2.78187151503203e-05	0.010084078333345	0.632601715968853	0.0630678423927853	0.000135106369897531	9.28006483164859e-14	0.482379861868655	0.000220273957689758	0.000740769934220093	3.36633606793565e-06	1.83678120011316e-05	0.500764021174779	8.8621391640004e-06	0.575066669674306	0.291141989673501	0.00012249612453265
miR.009	144738.772409625	-1.62667592610974e-07	2.46821440613174e-07	-0.659049684690526	0.509863864110203	0.653671620654106	0.653671620654106	0.0113208289882969	0.000562358290508872	6.08159755161174e-07	4.47417351747527e-07	0.568080771735126	0.993305378957427	3.04747420836526e-05	6.60289543869439e-61	8.67225581322217e-07	0.0246661786541153	1.57349506849719e-05	0.771226906259024	0.239347781179169	1.25384994570036e-06	0.946851647944205	0.724442853701106	0.0601480103636273	0.819924508397166	0.980624509120822	0.00211601382745824	0.94946987913269	0.294219837402423	0.176765752069919	0.378916982702259	0.0542512019361202	6.22963506904477e-05	0.337751184021235	0.0572323150874427	0.867999708711457	0.924260538795049	0.181238521577622	4.14504147772561e-07	0.0607361298216852	0.049200710436242	0.00267755919610547	0.365445742722014	0.292260172663414	0.606649515300801	0.00144502074303435	0.752821483009594	0.0287388464763356	0.647363707259372	0.00201433966840513	1.56058553339744e-13	0.563252044552061	0.131727543762879	0.575066669674306	0.21404285652149	0.0233503851613863
miR.010	141425.661034771	-3.45165023492521e-07	2.15154325251073e-07	-1.60426718398402	0.108655171283789	0.244069498506364	0.244069498506364	0.00426375541879026	1.13449652124852e-06	0.00285577228112365	0.000149780790754652	0.568080771735126	0.993305378957427	0.000791003322789202	1.79516608591509e-08	3.02722262326971e-59	0.0988017838121675	2.98460802765839e-15	0.710540286404305	0.0393202112535194	0.0317190555271874	0.0658162518978153	0.63771419960668	0.0155036118660074	0.958738867720769	0.918021885111534	7.62483778778999e-09	0.706968936113682	0.414794474056116	0.278903010641224	0.407730263822969	0.0620108293731621	3.93685823203758e-17	0.857954397193613	0.109849844970281	0.0843788851643462	0.849540009214403	0.06501125330727	0.0373642394480522	0.00264654853537314	0.102304703117985	0.0455154659940329	0.283965426693926	0.347734371692544	0.661279165931496	7.29135632427191e-05	0.485880711566903	0.203615635490017	0.282990039716966	1.36897988963865e-05	1.11142541705075e-10	0.750539660500167	0.1553519658119	0.170699695829655	0.423872385023821	0.0792330401970402
