IID	type	miR.001	miR.002	miR.003	miR.004	miR.005	miR.006	miR.007	miR.008	miR.009	miR.010	miR.011	miR.012	miR.013	miR.014	miR.015	miR.016	miR.017	miR.018	miR.019	miR.020	miR.021	miR.022	miR.023	miR.024	miR.025	miR.026	miR.027	miR.028	miR.029	miR.030	miR.031	miR.032	miR.033	miR.034	miR.035	miR.036	miR.037	miR.038	miR.039	miR.040	miR.041	miR.042	miR.043	miR.044	miR.045	miR.046	miR.047	miR.048	miR.049	miR.050
Ind1	NN	1334127	641975	467908	429417	353480	281258	259808	217585	198821	165169	142733	122551	123746	120026	29538	94251	73661	91310	106053	80470	72255	55558	72243	60162	66359	54589	60801	44198	38013	39723	44490	27802	23292	17103	33339	29032	31538	28578	23299	27059	30667	25147	18078	21565	18780	16978	21925	18300	17999	18114
Ind2	PP	885885	530521	427802	946286	170193	205284	180171	116580	95480	100078	221115	110195	114135	128640	241186	145614	126924	57430	103667	77612	74602	51985	83886	33934	121002	58641	39227	67517	218067	63636	22768	58133	106757	189209	34911	58584	29661	21808	21316	18090	17288	18173	19275	14900	12552	11851	21898	14436	9156	13330
Ind3	NN	1249281	673687	449396	316346	308566	247272	215737	180053	209177	168614	127170	134994	109676	116285	17082	105659	117577	88587	96468	106288	89529	67447	55485	81009	43101	58893	57404	44786	5408	41743	43860	35990	31219	27888	27926	21637	23852	24892	19528	24071	19027	19953	19408	23538	20768	15239	15623	14507	19717	17061
Ind4	NN	1236881	558199	453004	554189	198619	245992	200554	143628	109208	139417	149504	102865	94085	79229	188183	99552	73946	77158	73281	98509	85122	79449	56637	47742	48251	39473	42636	45421	23253	41275	30239	37266	59852	37197	27046	23350	24366	20705	20719	16855	13463	17049	17939	15227	15978	22428	17010	17062	15792	12294
Ind5	NN	1194171	767059	469869	362743	314838	255758	232943	184680	175994	156056	167150	112285	98391	89405	78024	89115	77244	99997	82234	104572	92947	85937	68660	43111	45545	49625	41375	59923	114001	37788	45290	31047	29515	21689	30795	18681	24520	22868	18992	21041	15060	21046	17603	20316	22057	14177	16390	17240	15925	13554
Ind6	NN	829598	406455	521869	397389	293797	196758	179480	184931	141944	110486	110396	88179	122730	131151	80220	83042	111453	108418	96058	63054	69936	78517	64185	79279	81434	42471	38951	35801	20083	45173	29565	35249	25582	42801	34689	25324	33611	29226	26155	28768	20268	26755	22671	20246	16531	15469	14039	18866	17289	15023
Ind7	NN	1144233	512763	395315	622615	214678	221174	201170	132757	92545	122732	178832	105321	116765	111721	271845	86125	74258	105297	85019	100131	67889	55191	47831	51455	65335	36386	39824	69832	105649	39334	44208	30592	66332	35046	28910	22748	23386	23407	21785	17773	27519	14344	16739	14521	13294	17636	21203	15035	17049	13686
Ind8	NN	1487597	733362	453813	540203	268139	270718	226218	209442	157789	146649	119669	114401	112797	138875	172907	91891	118699	109797	105539	88149	80424	55257	57441	72379	64542	45014	48370	77685	198502	41340	23620	31691	36083	36231	32711	17346	30726	25087	23837	28857	19902	23116	19481	19620	17336	18091	17583	12567	16534	15712
Ind9	NN	1211510	737601	496492	602299	336300	212583	213488	194599	166395	138308	108510	117715	91662	112147	183099	89903	216278	109398	98386	89402	57568	60514	62677	47433	68303	48415	42787	52417	113402	34319	33382	35882	35562	50575	31551	19351	28521	27797	23999	25556	23270	21022	13591	13951	15726	17005	23910	16308	18296	16466
Ind10	HH	1132209	514920	441653	725522	170764	220358	177299	113434	141354	107142	150292	108573	86543	70030	136786	90534	267146	81156	87897	84672	71047	70586	71118	34929	58670	34251	34519	47003	171444	40390	39229	69297	81289	200346	32663	32228	22257	21856	22564	14576	23035	14793	14372	13634	12439	13671	24323	16152	12244	14349
Ind11	HH	844185	668984	487278	457498	252544	256812	142797	192432	179483	148941	172282	134599	85507	96971	194692	104114	97330	72917	86711	65694	90612	46970	85527	62887	83277	49376	69165	44419	28705	55693	56990	30913	21191	34631	32787	18721	25068	17290	22154	29225	18360	24340	20913	21633	15863	16340	25449	16987	12903	20121
Ind12	HH	1034868	620124	470603	795342	211006	283355	182954	137652	117970	141065	188617	158272	104514	100774	261142	129667	93047	72143	85811	77892	80759	46315	74844	38399	66511	50644	61990	78374	214711	52375	33060	40830	98860	60590	30796	47412	24748	20198	20816	20121	18074	17302	16217	14834	15477	13557	23161	12965	15640	17675
Ind13	HH	1630219	649142	416592	578776	134228	260878	179789	85500	128656	117406	283508	119123	72013	29288	92063	112071	177718	57872	61248	122344	64553	77598	56771	21774	40338	30408	42312	42440	102379	32722	23901	58640	97428	105924	23793	26947	15801	18583	19694	5700	15615	12708	10204	11087	13890	15887	38881	14297	19961	11020
Ind14	HH	1307522	663986	592588	448311	337973	222795	228630	238858	197452	197645	124003	170202	114452	188659	73262	132651	43204	97060	100390	73450	117814	58017	71179	63110	75842	59435	79361	36718	44763	50772	36197	27654	29553	9632	36495	22409	23639	23478	23972	40509	22915	20874	19294	23110	22413	13395	15286	10816	16650	16721
Ind15	HH	1549799	667897	449342	475243	267939	258610	246807	160925	136349	122340	114521	101276	106580	55582	117972	98370	53476	71236	109969	78272	69602	71153	67279	50942	60954	43747	38647	38457	18352	36775	37509	25812	29425	20588	31035	22057	28699	23635	21639	12068	20473	23909	16809	15070	15811	18327	14368	18670	16025	16085
Ind16	HH	1409229	583678	361252	540078	232801	274066	229843	174003	116637	100092	96233	98372	130299	114515	143946	85480	77649	59484	86507	72718	72135	70875	58599	54875	54875	48249	39943	36092	33608	41633	30328	26208	38143	36967	26795	28088	22712	21848	19040	22938	18214	18303	17906	17003	16716	17311	16012	18547	14796	14480
Ind17	HH	585321	727474	714818	368885	345465	228284	179873	228360	236102	244695	139186	232605	96699	180603	18892	150272	97479	95084	91555	57613	146696	39106	82480	61687	82151	54225	115535	43215	15616	73241	21400	34723	34123	17493	40423	26631	23242	22774	23378	50037	26867	22740	24350	23572	25321	9114	14695	9792	15373	22110
Ind18	MM	1050548	508360	376356	553250	161596	213816	204921	64036	75970	129806	201019	94386	86126	73666	151769	96466	62214	68586	89355	82155	71842	64908	59826	19316	47701	38112	47548	63031	173543	40135	23265	41648	130114	96132	20577	28437	29836	23497	19288	9942	18052	16249	12452	16044	15069	13421	23049	19604	13079	10998
Ind19	MM	947239	594935	512825	473136	293506	258750	178612	202719	139439	176613	141697	129589	140171	174582	62200	100536	105168	119176	89802	78047	97277	48428	67224	74432	64979	54512	53389	44932	35530	45851	30652	35142	36994	36518	33751	24068	27111	27622	29153	33526	27948	22736	23473	23419	16698	25051	13763	13227	13081	17371
Ind20	MM	1192439	658290	490493	421268	260825	222101	182996	231764	146190	131085	122273	114962	153537	102552	75183	103060	63358	79809	66593	75285	84619	66183	62816	37822	56762	47952	48287	60652	107242	34251	49864	21983	31224	16767	30425	16167	20674	19775	27135	25117	18363	17853	15999	16746	18727	18107	12944	17789	21429	19699
Ind21	MM	1054471	492178	472401	425386	291912	235428	230556	141249	130218	126477	157519	123562	114015	140235	131052	84011	68593	100025	89387	94425	102981	46662	55923	67011	46931	51978	53619	39003	31439	48880	36926	33244	35470	29539	34974	29156	25787	23013	21604	26084	20705	19895	22541	17391	18808	21034	15195	13866	12733	12370
Ind22	MM	1103629	540227	556122	415817	293991	210561	210891	196692	145434	138050	96654	108170	108620	134560	79537	86916	47158	96238	79028	90255	65366	70153	58968	37209	55470	42797	46495	63028	46993	35708	19567	27009	32273	12169	27953	15389	22759	25246	23103	27389	18367	17029	15311	16479	18950	15462	17479	20890	15965	16302
