	Ind1	Ind2	Ind3	Ind4	Ind5	Ind6	Ind7	Ind8	Ind9	Ind10	Ind11	Ind12	Ind13	Ind14	Ind15	Ind16	Ind17	Ind18	Ind19	Ind20	Ind21	Ind22	Ind23	Ind24	Ind25	Ind26	Ind27	Ind28	Ind29	Ind30	Ind31	Ind32	Ind33	Ind34	Ind35	Ind36	Ind37	Ind38	Ind39	Ind40
miR.001	1334127	885885	1249281	1236881	1194171	829598	1144233	1487597	1211510	1132209	844185	1034868	1630219	1307522	1549799	1409229	585321	1050548	947239	1192439	1054471	1103629	1155006	1490851	1256245	1003889	725661	1031661	908305	1098585	1100886	1034237	1312398	1113885	1209677	1018450	1141820	1005712	1373428	1002691
miR.002	641975	530521	673687	558199	767059	406455	512763	733362	737601	514920	668984	620124	649142	663986	667897	583678	727474	508360	594935	658290	492178	540227	616933	545625	487446	632805	616448	624900	557472	624442	905514	614657	508431	708590	643402	578564	637441	500277	478523	406750
miR.003	467908	427802	449396	453004	469869	521869	395315	453813	496492	441653	487278	470603	416592	592588	449342	361252	714818	376356	512825	490493	472401	556122	445536	248114	437411	544054	263217	415101	629061	514097	694191	558427	500845	470594	468140	539221	530126	466389	442241	463041
miR.004	429417	946286	316346	554189	362743	397389	622615	540203	602299	725522	457498	795342	578776	448311	475243	540078	368885	553250	473136	421268	425386	415817	514219	479748	512993	593686	375500	667897	391039	419968	429374	357245	471035	566641	414450	372253	402072	330939	711582	375878
miR.005	353480	170193	308566	198619	314838	293797	214678	268139	336300	170764	252544	211006	134228	337973	267939	232801	345465	161596	293506	260825	291912	293991	273502	122606	188076	314211	137063	135763	266145	291718	277005	333764	264991	256107	284615	321243	249112	291034	206570	247665
miR.006	281258	205284	247272	245992	255758	196758	221174	270718	212583	220358	256812	283355	260878	222795	258610	274066	228284	213816	258750	222101	235428	210561	246506	248261	254155	277518	230329	236051	266207	253139	289856	249088	241377	241798	249068	281387	220618	228049	210625	224576
miR.007	259808	180171	215737	200554	232943	179480	201170	226218	213488	177299	142797	182954	179789	228630	246807	229843	179873	204921	178612	182996	230556	210891	215283	254148	191566	179993	150234	198296	169454	201386	214095	192940	201058	229570	180687	194981	220841	201869	211503	182235
miR.008	217585	116580	180053	143628	184680	184931	132757	209442	194599	113434	192432	137652	85500	238858	160925	174003	228360	64036	202719	231764	141249	196692	170160	60059	112138	199439	50114	98285	208020	195976	226428	174735	151896	152601	176460	204302	196973	195466	151618	150924
miR.009	198821	95480	209177	109208	175994	141944	92545	157789	166395	141354	179483	117970	128656	197452	136349	116637	236102	75970	139439	146190	130218	145434	129781	104415	122154	140882	103937	86848	148388	156591	217850	206518	119568	137128	173186	180396	151720	172406	116060	115942
miR.010	165169	100078	168614	139417	156056	110486	122732	146649	138308	107142	148941	141065	117406	197645	122340	100092	244695	129806	176613	131085	126477	138050	109851	85397	122816	168822	102151	117694	141522	160465	255947	200339	112258	149952	139267	166224	145017	142865	108695	129262
